Ind,Sire,Dam
ZI_Y503,HH01_sire,HH01_dam
ZI_Y623,GG05_sire,HH05_dam
ZI_Y665,GG05_sire,HH05_dam
ZI_Y699,GG05_sire,HH05_dam
ZI_Y723,GG05_sire,HH05_dam
ZI_Y776,GG05_sire,HH05_dam
ZI_Y777,GG05_sire,HH05_dam
ZI_Y846,NB_sire,R05_dam
ZI_Y923,NB_sire,R05_dam
ZI_Y964,NB_sire,R05_dam
ZI_Y978,NB_sire,R05_dam
ZI_Y996,NB_sire,R05_dam
ZI_Z067,NC_sire,R07_dam
ZI_Z093,NC_sire,R07_dam
ZI_Z132,NC_sire,R07_dam
ZI_Z199,NC_sire,R07_dam
ZI_Z269,ND_sire,R12_dam
ZI_Z321,ND_sire,R12_dam
ZI_Z430,ND_sire,R22_dam
ZI_Z501,ND_sire,R22_dam
ZI_Z510,ND_sire,R22_dam
ZI_Z584,ND_sire,R22_dam
ZI_Z619,NC_sire,R19_dam
ZI_Z682,NC_sire,R19_dam
ZI_Z685,NC_sire,R19_dam
ZI_Z712,NC_sire,R19_dam
ZI_Z850,RR01_sire,RR05_dam
